method,protein,ligand,affinity,output_file
qvina,8SPD,ligand_158,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_158_out.pdbqt
qvina,8SPD,ligand_159,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_159_out.pdbqt
qvina,8SPD,ligand_160,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_160_out.pdbqt
qvina,8SPD,ligand_161,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_161_out.pdbqt
qvina,8SPD,ligand_162,-4.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_162_out.pdbqt
qvina,8SPD,ligand_163,-4.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_163_out.pdbqt
qvina,8SPD,ligand_164,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_164_out.pdbqt
qvina,8SPD,ligand_165,-6.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_165_out.pdbqt
qvina,8SPD,ligand_166,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_166_out.pdbqt
qvina,8SPD,ligand_167,-6.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_167_out.pdbqt
qvina,8SPD,ligand_168,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_168_out.pdbqt
qvina,8SPD,ligand_169,-5.8,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_169_out.pdbqt
qvina,8SPD,ligand_170,-6.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_170_out.pdbqt
qvina,8SPD,ligand_171,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_171_out.pdbqt
qvina,8SPD,ligand_172,-6.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_172_out.pdbqt
qvina,8SPD,ligand_173,-6.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_173_out.pdbqt
qvina,8SPD,ligand_174,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_174_out.pdbqt
qvina,8SPD,ligand_175,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_175_out.pdbqt
qvina,8SPD,ligand_176,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_176_out.pdbqt
qvina,8SPD,ligand_177,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_177_out.pdbqt
qvina,8SPD,ligand_178,-5.8,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_178_out.pdbqt
qvina,8SPD,ligand_179,-6.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_179_out.pdbqt
qvina,8SPD,ligand_180,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_180_out.pdbqt
qvina,8SPD,ligand_181,-5.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_181_out.pdbqt
qvina,8SPD,ligand_182,-6.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_182_out.pdbqt
qvina,8SPD,ligand_183,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_183_out.pdbqt
qvina,8SPD,ligand_184,-6.4,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_184_out.pdbqt
qvina,8SPD,ligand_185,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_185_out.pdbqt
qvina,8SPD,ligand_186,-6.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_186_out.pdbqt
qvina,8SPD,ligand_187,-4.8,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_187_out.pdbqt
qvina,8SPD,ligand_188,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_188_out.pdbqt
qvina,8SPD,ligand_189,-4.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_189_out.pdbqt
qvina,8SPD,ligand_190,-5.2,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_190_out.pdbqt
